ID,T (generations),α (fertility),N (founders),B (blocks),d (deterministic),Grader threshold,N1,B1,N2,B2,N3,B3,N4,B4
1388,4,4,20,15000,0,1,57,53,9,5,0,0,,
1389,4,4,20,1000,0,0.5,68,61,27,17,10,2,,
1389,4,4,20,1000,0,0.75,60,54,0,0,0,0,,
1389,4,4,20,1000,0,1,58,53,0,0,0,0,,
1389,4,4,20,5000,0,0.5,66,59,36,21,0,0,,
1389,4,4,20,5000,0,0.75,60,54,4,2,0,0,,
1389,4,4,20,5000,0,1,56,51,4,2,0,0,,
1389,4,4,20,15000,0,0.5,68,61,18,11,10,2,,
1389,4,4,20,15000,0,0.75,66,59,9,5,0,0,,
1389,4,4,20,15000,0,1,64,58,9,5,0,0,,
1390,4,4,20,1000,0,0.5,68,62,29,20,0,0,,
1390,4,4,20,1000,0,0.75,65,60,17,14,0,0,,
1390,4,4,20,1000,0,1,62,56,5,4,0,0,,
1390,4,4,20,5000,0,0.5,71,64,35,25,0,0,,
1390,4,4,20,5000,0,0.75,71,64,23,17,0,0,,
1390,4,4,20,5000,0,1,65,59,17,13,0,0,,
1390,4,4,20,15000,0,0.5,71,64,41,26,10,4,,
1390,4,4,20,15000,0,0.75,71,64,17,13,0,0,,
1390,4,4,20,15000,0,1,68,62,11,8,0,0,,
1391,4,4,20,1000,0,0.5,73,64,45,31,10,3,,
1391,4,4,20,1000,0,0.75,64,57,0,0,0,0,,
1391,4,4,20,1000,0,1,60,54,0,0,0,0,,
1391,4,4,20,5000,0,0.5,71,63,40,27,20,6,,
1391,4,4,20,5000,0,0.75,62,56,5,3,0,0,,
1391,4,4,20,5000,0,1,62,56,0,0,0,0,,
1391,4,4,20,15000,0,0.5,71,62,35,25,0,0,,
1391,4,4,20,15000,0,0.75,60,54,5,3,0,0,,
1391,4,4,20,15000,0,1,57,52,0,0,0,0,,
1392,4,4,20,1000,0,0.5,86,78,31,21,10,3,,
1392,4,4,20,1000,0,0.75,86,78,12,8,0,0,,
1392,4,4,20,1000,0,1,83,76,6,3,0,0,,
1392,4,4,20,5000,0,0.5,91,82,31,21,0,0,,
1392,4,4,20,5000,0,0.75,88,80,12,9,0,0,,
1392,4,4,20,5000,0,1,83,76,6,4,0,0,,
1392,4,4,20,15000,0,0.5,88,80,25,16,0,0,,
1392,4,4,20,15000,0,0.75,86,78,6,3,0,0,,
1392,4,4,20,15000,0,1,83,76,6,3,0,0,,
1393,4,4,20,1000,0,0.5,81,73,53,38,10,4,,
1393,4,4,20,1000,0,0.75,75,68,26,19,0,0,,
1393,4,4,20,1000,0,1,75,68,6,3,0,0,,
1393,4,4,20,5000,0,0.5,81,73,53,36,10,2,,
1393,4,4,20,5000,0,0.75,75,68,13,9,0,0,,
1393,4,4,20,5000,0,1,68,63,6,4,0,0,,
1393,4,4,20,15000,0,0.5,84,75,46,32,0,0,,
1393,4,4,20,15000,0,0.75,78,71,33,25,0,0,,
1393,4,4,20,15000,0,1,68,63,13,8,0,0,,
1394,4,4,20,1000,0,0.5,80,73,61,39,11,5,,
1394,4,4,20,1000,0,0.75,80,73,30,21,0,0,,
1394,4,4,20,1000,0,1,76,70,7,5,0,0,,
1394,4,4,20,5000,0,0.5,80,73,46,29,11,4,,
1394,4,4,20,5000,0,0.75,80,73,30,20,0,0,,
1394,4,4,20,5000,0,1,76,70,7,5,0,0,,
1394,4,4,20,15000,0,0.5,80,73,46,29,0,0,,
1394,4,4,20,15000,0,0.75,80,73,15,11,0,0,,
1394,4,4,20,15000,0,1,76,70,7,5,0,0,,
1395,4,4,20,1000,0,0.5,69,64,23,13,10,4,,
1395,4,4,20,1000,0,0.75,65,60,4,2,0,0,,
1395,4,4,20,1000,0,1,65,60,4,2,0,0,,
1395,4,4,20,5000,0,0.5,71,65,38,23,10,4,,
1395,4,4,20,5000,0,0.75,69,64,14,8,0,0,,
1395,4,4,20,5000,0,1,69,64,14,8,0,0,,
1395,4,4,20,15000,0,0.5,71,65,38,24,20,9,,
1395,4,4,20,15000,0,0.75,69,64,9,5,0,0,,
1395,4,4,20,15000,0,1,69,64,9,5,0,0,,
1396,4,4,20,1000,0,0.5,80,72,35,23,10,4,,
1396,4,4,20,1000,0,0.75,75,69,20,13,0,0,,
1396,4,4,20,1000,0,1,71,66,10,6,0,0,,
1396,4,4,20,5000,0,0.5,80,72,30,20,0,0,,
1396,4,4,20,5000,0,0.75,77,71,10,7,0,0,,
1396,4,4,20,5000,0,1,73,68,0,0,0,0,,
1396,4,4,20,15000,0,0.5,80,72,30,19,0,0,,
1396,4,4,20,15000,0,0.75,75,69,0,0,0,0,,
1396,4,4,20,15000,0,1,71,66,0,0,0,0,,
1397,4,4,20,1000,0,0.5,80,73,27,17,0,0,,
1397,4,4,20,1000,0,0.75,76,71,11,6,0,0,,
1397,4,4,20,1000,0,1,76,71,11,6,0,0,,
1397,4,4,20,5000,0,0.5,84,77,33,22,0,0,,
1397,4,4,20,5000,0,0.75,84,77,16,10,0,0,,
1397,4,4,20,5000,0,1,84,77,11,6,0,0,,
1397,4,4,20,15000,0,0.5,84,77,38,25,10,1,,
1397,4,4,20,15000,0,0.75,84,77,27,18,0,0,,
1397,4,4,20,15000,0,1,84,77,22,13,0,0,,
1398,4,4,20,1000,0,0.5,81,75,58,35,10,2,,
1398,4,4,20,1000,0,0.75,72,69,33,21,0,0,,
1398,4,4,20,1000,0,1,68,64,16,10,0,0,,
1398,4,4,20,5000,0,0.5,86,79,58,39,0,0,,
1398,4,4,20,5000,0,0.75,81,76,50,34,0,0,,
1398,4,4,20,5000,0,1,81,76,25,17,0,0,,
1398,4,4,20,15000,0,0.5,86,79,58,38,10,2,,
1398,4,4,20,15000,0,0.75,81,76,50,34,0,0,,
1398,4,4,20,15000,0,1,81,76,25,16,0,0,,
1399,4,4,20,1000,0,0.5,75,69,33,22,10,4,,
1399,4,4,20,1000,0,0.75,70,66,6,4,0,0,,
1399,4,4,20,1000,0,1,66,62,6,4,0,0,,
1399,4,4,20,5000,0,0.5,79,73,40,25,10,4,,
1399,4,4,20,5000,0,0.75,79,73,13,7,0,0,,
1399,4,4,20,5000,0,1,79,73,13,7,0,0,,
1399,4,4,20,15000,0,0.5,79,73,26,17,0,0,,
1399,4,4,20,15000,0,0.75,79,73,6,3,0,0,,
1399,4,4,20,15000,0,1,79,73,6,3,0,0,,
1400,4,4,20,1000,0,0.5,73,65,29,18,0,0,,
